,author,published_at,updated_at,like_count,text
0,@PoetrybyEraj6,2024-06-10T08:57:40Z,2024-06-10T08:57:40Z,1,PAK waly nai kr skty isk lye apply?
1,@anujasadavarte4778,2024-06-09T11:03:45Z,2024-06-09T11:03:45Z,0,I am diploma student not degree can I एलिजिबल to apply this?
2,@AnkitaBs--,2024-06-09T06:13:55Z,2024-06-09T06:13:55Z,0,Bsc cs student bhi kar sakte hai kya ?
3,@jayrumap9276,2024-06-09T03:45:43Z,2024-06-09T03:45:43Z,0,its not for BCA students . upload intership that BCA students can do .
4,@AnkitKumar-px6dr,2024-06-07T17:04:12Z,2024-06-07T17:04:12Z,0,Is it for pg passout student ??
5,@adam_7903,2024-06-07T05:37:04Z,2024-06-07T05:37:04Z,0,i will graduate in 2027 but im very much intrested in doing this program 🥲
6,@shreyachanore5865,2024-06-07T05:34:51Z,2024-06-07T05:34:51Z,1,For bca 3 year student?
7,@user-hg5bt8th8c,2024-06-06T16:49:32Z,2024-06-06T16:49:32Z,0,bakwaas video
8,@VenkataBalajiKadiri,2024-06-06T12:06:26Z,2024-06-06T12:06:26Z,0,"bhai , 2027 Graduate hone bache ke liye intership bathav"
9,@Suresh-iu2tx,2024-06-06T04:13:18Z,2024-06-06T04:13:18Z,0,"I&#39;m currently working as digital marketer, can i join?"
10,@Bulbul90936,2024-06-06T03:14:42Z,2024-06-06T03:14:42Z,2,Kya only students hi apply kar sakte hai ? Koi job karti hai to nehi kar payegi ?
11,@wonderworldmusic3746,2024-06-06T02:35:13Z,2024-06-06T02:35:13Z,0,MCA student are eligible for internship????
12,@afsanapraween7835,2024-06-05T21:00:44Z,2024-06-05T21:00:44Z,0,Certificate milega ??
13,@martinn8706,2024-06-05T15:04:11Z,2024-06-05T15:04:11Z,0,Bhai IBM data analytics coursera free me dilado plsssssssss
14,@sathwikreddy2078,2024-06-05T14:51:49Z,2024-06-05T14:51:49Z,0,Bhai provide udemy HTML course
15,@ghoststriker2544,2024-06-05T14:24:26Z,2024-06-05T14:24:26Z,0,Is it online or offline
16,@manvigautam_,2024-06-05T13:50:23Z,2024-06-05T13:50:23Z,0,Power bi ka free course btao
17,@saidinesh6733,2024-06-05T07:50:29Z,2024-06-05T07:50:29Z,0,Bro any node js and react js free courses???
18,@technoguru8425,2024-06-05T07:33:53Z,2024-06-05T07:33:53Z,0,bro also mention 1 thing this is only for 2025 and 2026 batch
19,@adarshsharma6609,2024-06-05T06:40:24Z,2024-06-05T06:40:24Z,0,Bro please provide solutions for this exam... on 23rd june
20,@anjiii2559,2024-06-05T06:21:04Z,2024-06-05T06:21:04Z,0,Bhaiya koi govt intership jo sirf online hoti ho<br>Please please btaye
21,@AbhishekBhardwaj-wm4yu,2024-06-05T04:21:21Z,2024-06-05T04:21:21Z,0,Let me tell you..<br><br>I am an HR <br>At lernx...<br><br>Nd now am hiring the candidates for internship..<br><br>That is 2 month remote intership..<br><br>1.  Marketing intern <br>2. Human resources intern.<br>Are you looking forward for this opportunity..<br><br>You will lots of perks and certificate...<br><br>Stipend upto 10 k..<br><br><br>So If you are interested then reply me in 20 min...
22,@gauravvishwakarmasuccess2418,2024-06-04T23:42:30Z,2024-06-04T23:42:30Z,0,Sir 12th pass wale form bhar sakte hai
23,@shreyaverma7971,2024-06-04T18:31:23Z,2024-06-04T18:31:23Z,1,Please provide the material for test
24,@KarthikDances,2024-06-04T17:58:35Z,2024-06-04T17:58:35Z,22,I don&#39;t know  why u guys  are putting a thumbnail that is stipend with 1 Lakhs it is basically to learn from Amazon ML scientists.<br>To reach your videos don&#39;t spread wrong information humble request 🙏
25,@studywithfun0312,2024-06-04T16:37:13Z,2024-06-04T16:37:13Z,0,Domain mai kya bhare isme no option hai hi nahi
26,@jayasreeskitchen6220,2024-06-04T16:34:54Z,2024-06-04T16:34:54Z,0,Bhaiya telegram par material nhi h
27,@Ojasvi_Tejasvi_Tapasvi-Bharat,2024-06-04T15:59:54Z,2024-06-04T15:59:54Z,1,Is it for 2nd year students?
